,"('main_with_guidance', '/Users/liupeiqi/workshop/Research/Instruction_Representation/lpq/Concepts/projects/crow/examples/06-virtual-home/log/main_with_guidance/epoch.csv')_average",best_method
cdl_dataset/dataset/Change_TV_channel/g2.txt,1.0,"('main_with_guidance', '/Users/liupeiqi/workshop/Research/Instruction_Representation/lpq/Concepts/projects/crow/examples/06-virtual-home/log/main_with_guidance/epoch.csv')_average"
cdl_dataset/dataset/Change_TV_channel/g3.txt,1.0,"('main_with_guidance', '/Users/liupeiqi/workshop/Research/Instruction_Representation/lpq/Concepts/projects/crow/examples/06-virtual-home/log/main_with_guidance/epoch.csv')_average"
cdl_dataset/dataset/Clean_the_bathroom/g1.txt,1.0,"('main_with_guidance', '/Users/liupeiqi/workshop/Research/Instruction_Representation/lpq/Concepts/projects/crow/examples/06-virtual-home/log/main_with_guidance/epoch.csv')_average"
cdl_dataset/dataset/Clean_the_bathroom/g2.txt,1.0,"('main_with_guidance', '/Users/liupeiqi/workshop/Research/Instruction_Representation/lpq/Concepts/projects/crow/examples/06-virtual-home/log/main_with_guidance/epoch.csv')_average"
cdl_dataset/dataset/Cook_some_food/g1.txt,0.385,"('main_with_guidance', '/Users/liupeiqi/workshop/Research/Instruction_Representation/lpq/Concepts/projects/crow/examples/06-virtual-home/log/main_with_guidance/epoch.csv')_average"
cdl_dataset/dataset/Cook_some_food/g2.txt,0.0,"('main_with_guidance', '/Users/liupeiqi/workshop/Research/Instruction_Representation/lpq/Concepts/projects/crow/examples/06-virtual-home/log/main_with_guidance/epoch.csv')_average"
cdl_dataset/dataset/Cook_some_food/g3.txt,1.0,"('main_with_guidance', '/Users/liupeiqi/workshop/Research/Instruction_Representation/lpq/Concepts/projects/crow/examples/06-virtual-home/log/main_with_guidance/epoch.csv')_average"
cdl_dataset/dataset/Cook_some_food/g4.txt,1.0,"('main_with_guidance', '/Users/liupeiqi/workshop/Research/Instruction_Representation/lpq/Concepts/projects/crow/examples/06-virtual-home/log/main_with_guidance/epoch.csv')_average"
cdl_dataset/dataset/Drink/g1.txt,1.0,"('main_with_guidance', '/Users/liupeiqi/workshop/Research/Instruction_Representation/lpq/Concepts/projects/crow/examples/06-virtual-home/log/main_with_guidance/epoch.csv')_average"
cdl_dataset/dataset/Drink/g2.txt,0.0,"('main_with_guidance', '/Users/liupeiqi/workshop/Research/Instruction_Representation/lpq/Concepts/projects/crow/examples/06-virtual-home/log/main_with_guidance/epoch.csv')_average"
cdl_dataset/dataset/Drink/g3.txt,1.0,"('main_with_guidance', '/Users/liupeiqi/workshop/Research/Instruction_Representation/lpq/Concepts/projects/crow/examples/06-virtual-home/log/main_with_guidance/epoch.csv')_average"
cdl_dataset/dataset/Drink/g4.txt,0.0,"('main_with_guidance', '/Users/liupeiqi/workshop/Research/Instruction_Representation/lpq/Concepts/projects/crow/examples/06-virtual-home/log/main_with_guidance/epoch.csv')_average"
cdl_dataset/dataset/Drink/g5.txt,1.0,"('main_with_guidance', '/Users/liupeiqi/workshop/Research/Instruction_Representation/lpq/Concepts/projects/crow/examples/06-virtual-home/log/main_with_guidance/epoch.csv')_average"
cdl_dataset/dataset/Iron_clothes/g1.txt,0.727,"('main_with_guidance', '/Users/liupeiqi/workshop/Research/Instruction_Representation/lpq/Concepts/projects/crow/examples/06-virtual-home/log/main_with_guidance/epoch.csv')_average"
cdl_dataset/dataset/Iron_clothes/g2.txt,0.636,"('main_with_guidance', '/Users/liupeiqi/workshop/Research/Instruction_Representation/lpq/Concepts/projects/crow/examples/06-virtual-home/log/main_with_guidance/epoch.csv')_average"
cdl_dataset/dataset/Iron_clothes/g4.txt,0.0,"('main_with_guidance', '/Users/liupeiqi/workshop/Research/Instruction_Representation/lpq/Concepts/projects/crow/examples/06-virtual-home/log/main_with_guidance/epoch.csv')_average"
cdl_dataset/dataset/Iron_clothes/g5.txt,0.833,"('main_with_guidance', '/Users/liupeiqi/workshop/Research/Instruction_Representation/lpq/Concepts/projects/crow/examples/06-virtual-home/log/main_with_guidance/epoch.csv')_average"
cdl_dataset/dataset/Iron_clothes/g6.txt,0.0,"('main_with_guidance', '/Users/liupeiqi/workshop/Research/Instruction_Representation/lpq/Concepts/projects/crow/examples/06-virtual-home/log/main_with_guidance/epoch.csv')_average"
cdl_dataset/dataset/Listen_to_music/g1.txt,0.333,"('main_with_guidance', '/Users/liupeiqi/workshop/Research/Instruction_Representation/lpq/Concepts/projects/crow/examples/06-virtual-home/log/main_with_guidance/epoch.csv')_average"
cdl_dataset/dataset/Listen_to_music/g2.txt,1.0,"('main_with_guidance', '/Users/liupeiqi/workshop/Research/Instruction_Representation/lpq/Concepts/projects/crow/examples/06-virtual-home/log/main_with_guidance/epoch.csv')_average"
cdl_dataset/dataset/Make_coffee/g1.txt,1.0,"('main_with_guidance', '/Users/liupeiqi/workshop/Research/Instruction_Representation/lpq/Concepts/projects/crow/examples/06-virtual-home/log/main_with_guidance/epoch.csv')_average"
cdl_dataset/dataset/Make_coffee/g2.txt,0.579,"('main_with_guidance', '/Users/liupeiqi/workshop/Research/Instruction_Representation/lpq/Concepts/projects/crow/examples/06-virtual-home/log/main_with_guidance/epoch.csv')_average"
cdl_dataset/dataset/Pet_cat/g1.txt,1.0,"('main_with_guidance', '/Users/liupeiqi/workshop/Research/Instruction_Representation/lpq/Concepts/projects/crow/examples/06-virtual-home/log/main_with_guidance/epoch.csv')_average"
cdl_dataset/dataset/Pet_cat/g2.txt,1.0,"('main_with_guidance', '/Users/liupeiqi/workshop/Research/Instruction_Representation/lpq/Concepts/projects/crow/examples/06-virtual-home/log/main_with_guidance/epoch.csv')_average"
cdl_dataset/dataset/Pet_cat/g3.txt,1.0,"('main_with_guidance', '/Users/liupeiqi/workshop/Research/Instruction_Representation/lpq/Concepts/projects/crow/examples/06-virtual-home/log/main_with_guidance/epoch.csv')_average"
cdl_dataset/dataset/Pet_cat/g4.txt,1.0,"('main_with_guidance', '/Users/liupeiqi/workshop/Research/Instruction_Representation/lpq/Concepts/projects/crow/examples/06-virtual-home/log/main_with_guidance/epoch.csv')_average"
cdl_dataset/dataset/Pet_cat/g5.txt,0.0,"('main_with_guidance', '/Users/liupeiqi/workshop/Research/Instruction_Representation/lpq/Concepts/projects/crow/examples/06-virtual-home/log/main_with_guidance/epoch.csv')_average"
cdl_dataset/dataset/Prepare_a_reading_space/g1.txt,1.0,"('main_with_guidance', '/Users/liupeiqi/workshop/Research/Instruction_Representation/lpq/Concepts/projects/crow/examples/06-virtual-home/log/main_with_guidance/epoch.csv')_average"
cdl_dataset/dataset/Prepare_a_reading_space/g2.txt,0.333,"('main_with_guidance', '/Users/liupeiqi/workshop/Research/Instruction_Representation/lpq/Concepts/projects/crow/examples/06-virtual-home/log/main_with_guidance/epoch.csv')_average"
cdl_dataset/dataset/Prepare_a_reading_space/g3.txt,0.0,"('main_with_guidance', '/Users/liupeiqi/workshop/Research/Instruction_Representation/lpq/Concepts/projects/crow/examples/06-virtual-home/log/main_with_guidance/epoch.csv')_average"
cdl_dataset/dataset/Prepare_a_reading_space/g4.txt,1.0,"('main_with_guidance', '/Users/liupeiqi/workshop/Research/Instruction_Representation/lpq/Concepts/projects/crow/examples/06-virtual-home/log/main_with_guidance/epoch.csv')_average"
cdl_dataset/dataset/Prepare_a_reading_space/g5.txt,1.0,"('main_with_guidance', '/Users/liupeiqi/workshop/Research/Instruction_Representation/lpq/Concepts/projects/crow/examples/06-virtual-home/log/main_with_guidance/epoch.csv')_average"
cdl_dataset/dataset/Prepare_breakfast/g1.txt,0.0,"('main_with_guidance', '/Users/liupeiqi/workshop/Research/Instruction_Representation/lpq/Concepts/projects/crow/examples/06-virtual-home/log/main_with_guidance/epoch.csv')_average"
cdl_dataset/dataset/Prepare_breakfast/g2.txt,1.0,"('main_with_guidance', '/Users/liupeiqi/workshop/Research/Instruction_Representation/lpq/Concepts/projects/crow/examples/06-virtual-home/log/main_with_guidance/epoch.csv')_average"
cdl_dataset/dataset/Prepare_breakfast/g3.txt,0.529,"('main_with_guidance', '/Users/liupeiqi/workshop/Research/Instruction_Representation/lpq/Concepts/projects/crow/examples/06-virtual-home/log/main_with_guidance/epoch.csv')_average"
cdl_dataset/dataset/Prepare_breakfast/g4.txt,0.389,"('main_with_guidance', '/Users/liupeiqi/workshop/Research/Instruction_Representation/lpq/Concepts/projects/crow/examples/06-virtual-home/log/main_with_guidance/epoch.csv')_average"
cdl_dataset/dataset/Prepare_dinner/g1.txt,1.0,"('main_with_guidance', '/Users/liupeiqi/workshop/Research/Instruction_Representation/lpq/Concepts/projects/crow/examples/06-virtual-home/log/main_with_guidance/epoch.csv')_average"
cdl_dataset/dataset/Prepare_dinner/g2.txt,1.0,"('main_with_guidance', '/Users/liupeiqi/workshop/Research/Instruction_Representation/lpq/Concepts/projects/crow/examples/06-virtual-home/log/main_with_guidance/epoch.csv')_average"
cdl_dataset/dataset/Prepare_dinner/g3.txt,0.0,"('main_with_guidance', '/Users/liupeiqi/workshop/Research/Instruction_Representation/lpq/Concepts/projects/crow/examples/06-virtual-home/log/main_with_guidance/epoch.csv')_average"
cdl_dataset/dataset/Prepare_dinner/g4.txt,0.0,"('main_with_guidance', '/Users/liupeiqi/workshop/Research/Instruction_Representation/lpq/Concepts/projects/crow/examples/06-virtual-home/log/main_with_guidance/epoch.csv')_average"
cdl_dataset/dataset/Put_groceries_in_Fridge/g1.txt,1.0,"('main_with_guidance', '/Users/liupeiqi/workshop/Research/Instruction_Representation/lpq/Concepts/projects/crow/examples/06-virtual-home/log/main_with_guidance/epoch.csv')_average"
cdl_dataset/dataset/Put_groceries_in_Fridge/g2.txt,0.852,"('main_with_guidance', '/Users/liupeiqi/workshop/Research/Instruction_Representation/lpq/Concepts/projects/crow/examples/06-virtual-home/log/main_with_guidance/epoch.csv')_average"
cdl_dataset/dataset/Put_groceries_in_Fridge/g3.txt,1.0,"('main_with_guidance', '/Users/liupeiqi/workshop/Research/Instruction_Representation/lpq/Concepts/projects/crow/examples/06-virtual-home/log/main_with_guidance/epoch.csv')_average"
cdl_dataset/dataset/Put_groceries_in_Fridge/g4.txt,0.214,"('main_with_guidance', '/Users/liupeiqi/workshop/Research/Instruction_Representation/lpq/Concepts/projects/crow/examples/06-virtual-home/log/main_with_guidance/epoch.csv')_average"
cdl_dataset/dataset/Turn_on_light/g1.txt,1.0,"('main_with_guidance', '/Users/liupeiqi/workshop/Research/Instruction_Representation/lpq/Concepts/projects/crow/examples/06-virtual-home/log/main_with_guidance/epoch.csv')_average"
cdl_dataset/dataset/Turn_on_light/g2.txt,1.0,"('main_with_guidance', '/Users/liupeiqi/workshop/Research/Instruction_Representation/lpq/Concepts/projects/crow/examples/06-virtual-home/log/main_with_guidance/epoch.csv')_average"
cdl_dataset/dataset/Turn_on_light/g3.txt,1.0,"('main_with_guidance', '/Users/liupeiqi/workshop/Research/Instruction_Representation/lpq/Concepts/projects/crow/examples/06-virtual-home/log/main_with_guidance/epoch.csv')_average"
cdl_dataset/dataset/Vacuum_the_living_room/g1.txt,0.75,"('main_with_guidance', '/Users/liupeiqi/workshop/Research/Instruction_Representation/lpq/Concepts/projects/crow/examples/06-virtual-home/log/main_with_guidance/epoch.csv')_average"
cdl_dataset/dataset/Wash_clothes/g1.txt,1.0,"('main_with_guidance', '/Users/liupeiqi/workshop/Research/Instruction_Representation/lpq/Concepts/projects/crow/examples/06-virtual-home/log/main_with_guidance/epoch.csv')_average"
cdl_dataset/dataset/Wash_clothes/g2.txt,1.0,"('main_with_guidance', '/Users/liupeiqi/workshop/Research/Instruction_Representation/lpq/Concepts/projects/crow/examples/06-virtual-home/log/main_with_guidance/epoch.csv')_average"
cdl_dataset/dataset/Wash_clothes/g3.txt,1.0,"('main_with_guidance', '/Users/liupeiqi/workshop/Research/Instruction_Representation/lpq/Concepts/projects/crow/examples/06-virtual-home/log/main_with_guidance/epoch.csv')_average"
cdl_dataset/dataset/Wash_clothes/g4.txt,0.2,"('main_with_guidance', '/Users/liupeiqi/workshop/Research/Instruction_Representation/lpq/Concepts/projects/crow/examples/06-virtual-home/log/main_with_guidance/epoch.csv')_average"
cdl_dataset/dataset/Wash_dishes_with_dishwasher/g1.txt,1.0,"('main_with_guidance', '/Users/liupeiqi/workshop/Research/Instruction_Representation/lpq/Concepts/projects/crow/examples/06-virtual-home/log/main_with_guidance/epoch.csv')_average"
cdl_dataset/dataset/Wash_dishes_with_dishwasher/g2.txt,1.0,"('main_with_guidance', '/Users/liupeiqi/workshop/Research/Instruction_Representation/lpq/Concepts/projects/crow/examples/06-virtual-home/log/main_with_guidance/epoch.csv')_average"
cdl_dataset/dataset/Wash_dishes_with_dishwasher/g3.txt,1.0,"('main_with_guidance', '/Users/liupeiqi/workshop/Research/Instruction_Representation/lpq/Concepts/projects/crow/examples/06-virtual-home/log/main_with_guidance/epoch.csv')_average"
cdl_dataset/dataset/Wash_windows/g1.txt,1.0,"('main_with_guidance', '/Users/liupeiqi/workshop/Research/Instruction_Representation/lpq/Concepts/projects/crow/examples/06-virtual-home/log/main_with_guidance/epoch.csv')_average"
cdl_dataset/dataset/Wash_windows/g2.txt,1.0,"('main_with_guidance', '/Users/liupeiqi/workshop/Research/Instruction_Representation/lpq/Concepts/projects/crow/examples/06-virtual-home/log/main_with_guidance/epoch.csv')_average"
cdl_dataset/dataset/Write_an_email/g1.txt,1.0,"('main_with_guidance', '/Users/liupeiqi/workshop/Research/Instruction_Representation/lpq/Concepts/projects/crow/examples/06-virtual-home/log/main_with_guidance/epoch.csv')_average"
cdl_dataset/dataset/Write_an_email/g2.txt,0.0,"('main_with_guidance', '/Users/liupeiqi/workshop/Research/Instruction_Representation/lpq/Concepts/projects/crow/examples/06-virtual-home/log/main_with_guidance/epoch.csv')_average"
cdl_dataset/dataset/Write_an_email/g3.txt,0.0,"('main_with_guidance', '/Users/liupeiqi/workshop/Research/Instruction_Representation/lpq/Concepts/projects/crow/examples/06-virtual-home/log/main_with_guidance/epoch.csv')_average"
cdl_dataset/dataset/make_up_bed/g3.txt,1.0,"('main_with_guidance', '/Users/liupeiqi/workshop/Research/Instruction_Representation/lpq/Concepts/projects/crow/examples/06-virtual-home/log/main_with_guidance/epoch.csv')_average"
